Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2015,BibMindlin,Um estudo sobre estratégias de aprendizagem adotadas por estudantes do Ensino Fundamental,Pesquisa,Fabiana Maris Versuti,2
2015,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e o Brasil,Cultura e Extensão,Edna Maura Zuffi,2
2015,CDCC,Espaço Lúdico: jogos educativos na construção do conhecimento.,Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2015,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Cibelle Celestino Silva,2
2015,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica,Cultura e Extensão,Alvaro Esteves Migotto,2
2015,CEUMA,"ACERVO AUDIOVISUAL DO CENTRO UNIVERSITÁRIO MARIA ANTONIA: PRESERVAÇÃO, ORGANIZAÇÃO E DISPONIBILIZAÇÃO À PESQUISA.",Cultura e Extensão,Guilherme Teixeira Wisnik,1
2015,CEUMA,Lembranças do futuro: cultura e arte contemporânea no Maria Antonia,Cultura e Extensão,Guilherme Teixeira Wisnik,1
2015,EACH,CAPACITAÇÃO DA EQUIPE INTERDISCIPLINAR PROFISSIONAIS EM CUIDADOS PALIATIV,Ensino,Beatriz Aparecida Ozello Gutierrez,1
2015,EACH,Patchwork uma técnica que possibilita criação de produto e geração de ren,Cultura e Extensão,Francisca Dantas Mendes,2
2015,EACH,"Brasil Migrante. Fluxos Populacionais, Políticas Públicas e Estruturas Estatais (1980-2012)",Pesquisa,Jose Renato de Campos Araujo,4
2015,EACH,1. INFLUÊNCIA DE SUPER HERÓIS E PERSONAGENS INFANTIS SOBRE AS RESPOSTAS DAS CRIANÇAS EM RELAÇÃO A VEGETAIS E FRUTAS,Pesquisa,Claudia Rosa Acevedo,3
2015,EACH,1. INFLUÊNCIA DOS BRINQUEDOS SOBRE AS ATITUDES E INTENÇÕES DE ESCOLHAS ENTRE REFEIÇÕES CASEIRAS E FAST FOOD POR PARTE DE CRIANÇAS,Pesquisa,Claudia Rosa Acevedo,3
2015,EACH,A casa de acolhida vista como lar: usando Design Thinking para co-criar soluções inovadoras em ambiência.,Pesquisa,Maria Luisa Trindade Bestetti,4
2015,EACH,A INSERÇÃO DA OBSTETRIZ NA PRÁTICA ASSISTENCIAL À SAÚDE DA MULHER: A PREVENÇÃO AO CÂNCER DE COLO UTERINO,Pesquisa,Patrícia Wottrich Parenti,2
